"family_id","p_value","sig"
"Alu",5.94340291718833e-33,"significant"
"ERV",0.385816008071825,"not significant"
"ERV1",2.29144515060075e-10,"significant"
"ERVK",1.71502372499801e-13,"significant"
"ERVL",4.54148352380486e-09,"significant"
"ERVL-MaLR",1.42472530418045e-19,"significant"
"Gypsy",0.399110965349049,"not significant"
"L1",5.99779906996564e-65,"significant"
"L2",0.385816008071825,"not significant"
"SVA",0.000530826665141326,"significant"
"TcMar-Mariner",0.48516867480972,"not significant"
"TcMar-Tigger",0.107259376024737,"not significant"
"hAT-Charlie",0.107259376024737,"not significant"
